x, x_low, x_high, y, y_stat_low, y_stat_high, y_syst_low, y_syst_high
11.430 7.000 7.000 0.596 0.096 0.096 0.084 0.084
31.210 7.000 7.000 0.439 0.063 0.063 0.053 0.053
54.420 7.000 7.000 0.250 0.039 0.039 0.024 0.024
87.190 7.000 7.000 0.177 0.028 0.028 0.011 0.011
131.000 7.000 7.000 0.131 0.022 0.022 0.010 0.010
188.200 7.000 7.000 0.096 0.018 0.018 0.013 0.013
262.300 7.000 7.000 0.100 0.015 0.015 0.011 0.011
331.500 7.000 7.000 0.073 0.019 0.019 0.008 0.008
382.300 7.000 7.000 0.078 0.019 0.019 0.006 0.006


11.430 7.000 7.000 0.534 0.164 0.164 0.103 0.103
42.810 7.000 7.000 0.290 0.056 0.056 0.033 0.033
109.100 7.000 7.000 0.109 0.030 0.030 0.018 0.018
269.100 7.000 7.000 0.051 0.016 0.016 0.011 0.011


11.430 7.000 7.000 0.900 0.314 0.314 0.146 0.146
42.810 7.000 7.000 0.943 0.205 0.205 0.102 0.102
109.100 7.000 7.000 0.738 0.216 0.216 0.104 0.104
269.100 7.000 7.000 0.573 0.189 0.189 0.102 0.102


1.500 1.500 1.500 0.087 0.018 0.018 0.006 0.006
4.500 1.500 1.500 0.122 0.016 0.016 0.011 0.011
7.500 1.500 1.500 0.098 0.020 0.020 0.007 0.007
12.000 3.000 3.000 0.126 0.016 0.016 0.014 0.014
22.500 7.500 7.500 0.140 0.021 0.021 0.008 0.008


2.000 2.000 2.000 0.065 0.026 0.026 0.014 0.014
6.500 2.500 2.500 0.067 0.025 0.025 0.016 0.016
12.000 3.000 3.000 0.069 0.025 0.025 0.020 0.020
22.500 7.500 7.500 0.100 0.025 0.025 0.007 0.007


2.000 2.000 2.000 0.601 0.242 0.242 0.121 0.121
6.500 2.500 2.500 0.720 0.278 0.278 0.118 0.118
12.000 3.000 3.000 0.544 0.200 0.200 0.110 0.110
22.500 7.500 7.500 0.725 0.193 0.193 0.025 0.025


2.000 0.230 0.230 0.115 0.007 0.007 0.007 0.007


3.000 0.230 0.230 0.081 0.015 0.015 0.012 0.012


2.500 0.450 0.450 0.709 0.135 0.135 0.078 0.078


