Npart Raa1S Raa2S Raa3S Raa1P Raa23S Raa3S/2S
385.97 0.37952466977409266 0.059777148612855865 0.0010182971880568473 0.01652193754644575 0.041195977158105065 0.017034890617680768
335.62 0.4121890954814346 0.07164339096540454 0.0012812459258615444 0.018670085177782486 0.04939439525775949 0.017883658333261165
264.84 0.4570583840208516 0.0908198023737982 0.0016036786754161055 0.023558619903628657 0.06260735626946923 0.017657808467977595
188.01 0.5128751113108999 0.11995111163671425 0.0029761586815620624 0.03294033380862611 0.08297996902623271 0.024811430598289923
131.21 0.5695962092746297 0.15797339539349142 0.004243412116272752 0.04554009211672816 0.10937854373271368 0.026861561756667682
87.03 0.6254779555363867 0.22567758643120298 0.00693961738827803 0.06698738815690979 0.15653485288629992 0.030750140047219744
54.2 0.6707435685330341 0.3214106937423096 0.012942688240983234 0.10013793633934344 0.2238550020739509 0.04026838090010785
30.95 0.7017820720296635 0.4547922322830041 0.02460751186971024 0.15615152612406155 0.31878932665290627 0.0541071507448212
15.78 0.7186654315444895 0.6380883021509692 0.05198984551293179 0.24855066968636677 0.45256718596887674 0.08147750920629036
5.055 0.7176597163679204 0.7836309251429385 0.20597805690764295 0.46521111647853913 0.600976211888066 0.26285085274049313
