Npart Raa1S Raa2S Raa3S Raa1P Raa23S Raa3S/2S
385.97 0.22830634021122134 0.04093566156596674 0.0010940751037074041 0.01100706082322453 0.0283369321741947 0.02672669896745973
335.62 0.25567499960264944 0.048462874692493635 0.0010783657139129584 0.0135395901147649 0.033483154433719166 0.022251377384346238
264.84 0.2967675333924933 0.06019871674807378 0.0016898512590788502 0.01664185683231928 0.041702542634030275 0.02807121730103859
188.01 0.347964897336311 0.08177076905492528 0.0029614511239800523 0.022040918564463264 0.05686891476025804 0.0362165008132778
131.21 0.41268554292102794 0.10787736908323645 0.004441738299904489 0.03181969823893387 0.07514180189367523 0.041173958334832166
87.03 0.4725150787597864 0.1482068934725478 0.006851100603293658 0.045932890633379346 0.1035070030484495 0.046226598795572754
54.2 0.5318950220442724 0.2137761086294124 0.01261567058721221 0.07059395568521103 0.15022254915994113 0.05901347287166627
30.95 0.5881379326303438 0.32293250409711044 0.024808604744672298 0.11519423416687152 0.22864667907330788 0.07682287917729085
15.78 0.6290331646536713 0.47386319864556486 0.05318586356188761 0.19060774471176567 0.3407987707361364 0.11223885651788926
5.055 0.6801742284848311 0.6847881829765599 0.2061443397591013 0.4112016692504681 0.5334503545063292 0.3010337282151342
