Npart Raa1S Raa2S Raa3S Raa1P Raa23S Raa3S/2S
385.97 0.44195446394944005 0.07661769740066345 0.0012346047177414134 0.02116740069254501 0.0527775576251322 0.016113832177508416
335.62 0.4817393312282857 0.08904758939114343 0.0017568608682234377 0.023725856339968657 0.06141352751420999 0.019729460171082104
264.84 0.5413670418427776 0.11081909418224713 0.0024435283602303117 0.03109868799791152 0.0765085988721992 0.022049705226897236
188.01 0.6206312490056332 0.14925896312538897 0.0036602442178735846 0.04161928471414295 0.10321513527711242 0.024522776664331367
131.21 0.71168377984521 0.19894469613805504 0.00631230911241749 0.05962576701136433 0.1380555674787131 0.0317289640535938
87.03 0.795707166421545 0.27772825427439884 0.008699301261136346 0.08651393075628822 0.19267288788273343 0.0313230689612924
54.2 0.8697049502379279 0.39280283149354533 0.01780607857569834 0.12854043393067124 0.2741546586166611 0.045330830503422515
30.95 0.92637315907691 0.5901899107243884 0.033520274682990785 0.20744274178858677 0.4143244329540363 0.05679574332581966
15.78 0.9650659551930088 0.8353922619470684 0.07098370048443721 0.3364148799179969 0.5936865195271982 0.08497050274202185
5.055 0.999294233193388 1.0805666318685638 0.2808059674848107 0.6768746424062534 0.8277379252190239 0.2598691827076212
