Npart Raa1S Raa2S Raa3S Raa1P Raa23S Raa3S/2S
385.97 0.15856980684806687 0.026038630517704567 0.0005622589210886914 0.006768187587222175 0.01798164800053207 0.021593260087407133
335.62 0.17381121803312127 0.030177112581845588 0.0008001028038167173 0.0075845234005560685 0.020877085881390544 0.02651356393514121
264.84 0.19601864795447757 0.037495395667476616 0.0011128222658877568 0.009912701612139346 0.02597707874249045 0.029678904464875807
188.01 0.2267279161900982 0.05029172897991353 0.0016669343112730346 0.013229975927478543 0.03491472778320098 0.03314529734976514
131.21 0.2621940757161848 0.0664598857029614 0.002874727481698752 0.018802233630519583 0.04636126708778639 0.043255077123472346
87.03 0.2965586712900178 0.0921221392137078 0.003961802244089985 0.027092129420758674 0.0642496382126952 0.043005973134202555
54.2 0.3289319943220963 0.12951203781365717 0.008109175661589798 0.04006772884753206 0.09110043114163176 0.06261329679066079
30.95 0.3561006434082049 0.19415075322389752 0.015265674273733395 0.06402534284913788 0.13763660580376016 0.07862794256651064
15.78 0.37707798754545624 0.27715896616903163 0.032327123228782145 0.10297379633556408 0.19974321581078425 0.11663747947835366
5.055 0.3970437208894349 0.3817703835577479 0.12788357119039032 0.20153443058803502 0.30151010831812886 0.33497509680723103
