Npart Raa1S Raa2S Raa3S Raa1P Raa23S Raa3S/2S
385.97 0.3002621353987535 0.05132816395918401 0.0008984318194150524 0.013967794139883591 0.03537960281283214 0.0175036812173816
335.62 0.3277752746307035 0.05961235098649451 0.0012784818360200773 0.015655189870262362 0.04114530669780027 0.021446593111379284
264.84 0.3686928448986277 0.07415724492486188 0.001778175313059034 0.020505694805025437 0.051242838807344836 0.023978443574336254
188.01 0.42367958259786564 0.09977534605265126 0.002663589264573309 0.027424630320810748 0.0690649315301567 0.026695865962396544
131.21 0.48693892778069736 0.13270229092050823 0.00459351829705812 0.03921400032094195 0.09220841728324974 0.03461521474267347
87.03 0.5461329188557814 0.18492519674405333 0.006330551752613165 0.05680303008852344 0.12846126304771432 0.034233040516241806
54.2 0.5993184722800119 0.26115743465360125 0.01295762711864407 0.08430408138910166 0.18262754487914648 0.049616152554994436
30.95 0.6412369012425574 0.39217033197414286 0.02439297447836209 0.13573404231886232 0.2759805193788982 0.06219994856717107
15.78 0.6710719713692325 0.55627561405805 0.05165541185660968 0.21969433812678052 0.3967148676689913 0.09285938579939114
5.055 0.6981689770414116 0.7311685077131561 0.20434476933760054 0.4392045364971443 0.5646240167685765 0.279476984008407
