#Final suppression factors:
# Centrality     <Npart>  pT (GeV/c)    RAA(Y1S)    RAA(Y2S)    RAA(Y3S)
        0-5%      380.44        <pT>     0.30386    0.095826    0.050748
       5-10%      327.92        <pT>     0.32096     0.10858    0.057846
      10-20%      259.88        <pT>     0.35116     0.13526    0.073200
      20-30%      185.64        <pT>     0.40396     0.19025     0.10510
      30-40%      126.44        <pT>     0.48446     0.29004     0.16730
      40-50%      81.357        <pT>     0.60872     0.46273     0.29544
      50-60%      49.861        <pT>     0.76717     0.68914     0.52170
      60-70%      27.912        <pT>     0.94194     0.92473     0.86098
     70-100%      6.1924        <pT>      1.0000      1.0000      1.0000

#Pre-cascade suppression factors:
# Centrality     <Npart>  pT (GeV/c) RAAQGP(Y1S) RAAQGP(Y2S) RAAQGP(Y3S)
        0-5%      380.44        <pT>     0.68035     0.11946    0.059735
       5-10%      327.92        <pT>     0.70814     0.13483    0.067822
      10-20%      259.88        <pT>     0.75094     0.16709    0.085294
      20-30%      185.64        <pT>     0.81277     0.23360     0.12158
      30-40%      126.44        <pT>     0.87814     0.35367     0.19144
      40-50%      81.357        <pT>     0.93727     0.55412     0.33197
      50-60%      49.861        <pT>     0.97585     0.79038     0.56928
      60-70%      27.912        <pT>     0.99644     0.97175     0.88894
     70-100%      6.1924        <pT>      1.0000      1.0000      1.0000
