#Final suppression factors:
# Centrality     <Npart>  pT (GeV/c)    RAA(Y1S)    RAA(Y2S)    RAA(Y3S)
      0-100%      102.43           0     0.38687     0.20519    0.099068
      0-100%      102.43           1     0.40115     0.22076     0.11814
      0-100%      102.43           2     0.39662     0.21393     0.10943
      0-100%      102.43           3     0.38957     0.20149    0.099822
      0-100%      102.43           4     0.38342     0.18326    0.089226
      0-100%      102.43           5     0.38046     0.16708    0.082491
      0-100%      102.43           6     0.37967     0.15305    0.083693
      0-100%      102.43           7     0.38189     0.14212    0.092236
      0-100%      102.43           8     0.38753     0.13639     0.10382
      0-100%      102.43           9     0.39457     0.13277     0.11483
      0-100%      102.43          10     0.38720     0.13431     0.12778
      0-100%      102.43          11     0.37419     0.14742     0.14256
      0-100%      102.43          12     0.36266     0.16280     0.15977
      0-100%      102.43          13     0.35592     0.18084     0.17461
      0-100%      102.43          14     0.35575     0.20067     0.19391
      0-100%      102.43          15     0.35443     0.22060     0.21335
      0-100%      102.43          16     0.36047     0.24359     0.23592
      0-100%      102.43          17     0.36664     0.26526     0.25626
      0-100%      102.43          18     0.37780     0.28863     0.27976
      0-100%      102.43          19     0.38755     0.31361     0.30344
      0-100%      102.43          20     0.40174     0.34221     0.32784
      0-100%      102.43          21     0.41564     0.36877     0.35270
      0-100%      102.43          22     0.43325     0.39176     0.37983
      0-100%      102.43          23     0.45079     0.42161     0.40166
      0-100%      102.43          24     0.46691     0.44584     0.42844
      0-100%      102.43          25     0.49496     0.47725     0.45864
      0-100%      102.43          26     0.52489     0.50486     0.48276
      0-100%      102.43          27     0.55055     0.53143     0.51226
      0-100%      102.43          28     0.57885     0.55706     0.53737
      0-100%      102.43          29     0.60758     0.58638     0.56313
      0-100%      102.43          30     0.63445     0.61283     0.59330

#Pre-cascade suppression factors:
# Centrality     <Npart>  pT (GeV/c) RAAQGP(Y1S) RAAQGP(Y2S) RAAQGP(Y3S)
      0-100%      102.43           0     0.71930     0.26919     0.11170
      0-100%      102.43           1     0.73326     0.28034     0.13223
      0-100%      102.43           2     0.74884     0.27551     0.12130
      0-100%      102.43           3     0.76410     0.26209     0.10977
      0-100%      102.43           4     0.78157     0.23880    0.094867
      0-100%      102.43           5     0.79798     0.21415    0.084409
      0-100%      102.43           6     0.81316     0.18947    0.083756
      0-100%      102.43           7     0.82850     0.16780    0.092324
      0-100%      102.43           8     0.84315     0.15342     0.10423
      0-100%      102.43           9     0.85055     0.14153     0.11489
      0-100%      102.43          10     0.81485     0.13690     0.12838
      0-100%      102.43          11     0.75552     0.14909     0.14324
      0-100%      102.43          12     0.69670     0.16428     0.16045
      0-100%      102.43          13     0.64846     0.18303     0.17545
      0-100%      102.43          14     0.61416     0.20303     0.19480
      0-100%      102.43          15     0.57698     0.22315     0.21428
      0-100%      102.43          16     0.55475     0.24743     0.23683
      0-100%      102.43          17     0.53406     0.26827     0.25732
      0-100%      102.43          18     0.52481     0.29306     0.28129
      0-100%      102.43          19     0.50859     0.31713     0.30461
      0-100%      102.43          20     0.49946     0.34787     0.32901
      0-100%      102.43          21     0.49228     0.37513     0.35397
      0-100%      102.43          22     0.49478     0.39557     0.38108
      0-100%      102.43          23     0.49702     0.42979     0.40330
      0-100%      102.43          24     0.49892     0.45252     0.43014
      0-100%      102.43          25     0.52154     0.48441     0.46030
      0-100%      102.43          26     0.55602     0.51396     0.48465
      0-100%      102.43          27     0.57963     0.53913     0.51425
      0-100%      102.43          28     0.61403     0.56488     0.53926
      0-100%      102.43          29     0.64052     0.59686     0.56502
      0-100%      102.43          30     0.66768     0.62283     0.59694
