# Npart	RAA (central)	RAA (lower)	RAA (upper)
0.97059866	1.	1.	1.
3.8095328	0.99190367	0.98891841	0.99488894
9.6677908	0.94091498	0.92975624	0.95207371
21.292762	0.78812964	0.77291381	0.80334548
41.050937	0.65258928	0.63843122	0.66674734
70.787143	0.52100135	0.51085787	0.53114483
112.39007	0.45122427	0.44295218	0.45949636
168.50284	0.38148456	0.37495503	0.3880141
243.53796	0.34583081	0.33938916	0.35227245
315.85912	0.31143063	0.30486884	0.31799242
374.98828	0.29039091	0.28270656	0.29807527
406.12232	0.28480043	0.27885882	0.29074204
