# Npart	RAA (central)	RAA (lower)	RAA (upper)
0.97059866	1.	1.	1.
3.8095328	0.98029933	0.979988	0.98061065
9.6677908	0.74848974	0.74601914	0.75096035
21.292762	0.37804004	0.3743209	0.38175919
41.050937	0.16441906	0.16124828	0.16758985
70.787143	0.082177099	0.079798592	0.084555606
112.39007	0.044891366	0.043137943	0.046644789
168.50284	0.028743678	0.027300809	0.030186547
243.53796	0.018002834	0.016883811	0.019121856
315.85912	0.014176393	0.013192407	0.015160379
374.98828	0.012046077	0.01116611	0.012926043
406.12232	0.011535436	0.010651834	0.012419039
